rank,title,description,date
97,原宿駅前の複合施設「WITH HARAJUKU」、2020年4月に開業,NTT都市開発（株）はこのたび、原宿駅前で開発を進める複合施設「WITH HARAJUKU（ウィズ原宿）」（東京都渋谷区）の概要を発表した。,2019年12月13日 (金)
98,新築マンション年収倍率、全国平均は8.09倍,（株）東京カンテイはこのたび、2018年「新築マンション年収倍率」を発表した。これは、各都道府県で分譲された新築マンション価格（70m2換算）を平均年収で除し、新築価格が年収の何倍に相...,2019年12月13日 (金)
99,中古マンション年収倍率、全国平均は5.47倍,（株）東京カンテイはこのたび、2018年「築10年中古マンション年収倍率」を発表した。これは、2018年における築10年中古マンション価格（70m2換算）を平均年収で除し、中古価格が年収の何倍...,2019年12月13日 (金)
100,首都圏中古マンション、成約件数は前年比1.6%減,（公財）東日本不動産流通機構（東日本レインズ）はこのたび、首都圏（1都3県）における2019年11月度・不動産流通市場の動向を発表した。,2019年12月13日 (金)
101,「勝間和代さんに聞く“汚部屋“ 一番快適な場所に！ 人生が変わったきっか…,新元号が変わり最初の年末が訪れようとしています。節目のタイミングを意識してか、SUUMOジャーナルで11月に公開した記事では「勝間和代さんインタビュー：“汚部屋“が一転、一番快適な場所に...,2019年12月13日 (金)
102,【カップル＆ファミリー編】新橋駅まで30分以内・中古マンション価格相場が…,さまざまな企業がオフィスを構え、「サラリーマンの聖地」とも呼ばれる新橋駅。仕事後の憩いの場である居酒屋も豊富にあり、新橋で働く人のなかには「家が近ければ飲んでから帰宅するのも楽...,2019年12月13日 (金)
103,森林調査、2割が農山村に定住意向あり、7割が木造住宅を選びたい,森林の存在や木材の利用は、私たちの生活に深くかかわっており、その効用にも注目されている。内閣府が「森林と生活に関する世論調査」の令和元年版（全国の18歳以上の3000人を対象に個別面...,2019年12月11日 (水)
104,沖縄の大型商業施設「iias沖縄豊崎」、2020年4月下旬オープン,大和ハウス工業（株）はこのたび、沖縄県に開発する大型商業施設の名称を「iias（イーアス）沖縄豊崎」に決定した。開業は2020年4月下旬の予定。,2019年12月10日 (火)
105,高額マンション居住者、約47%が「つい無駄遣いをしてしまうことがある」,"（株）読売広告社都市生活研究所はこのたび、高額マンション居住者（7,000万円～1億2,000万円マンション購入層）の生活者像と、その消費スタイルの調査・研究を行った。",2019年12月10日 (火)
106,新築一戸建て平均価格、首都圏は3ヵ月連続上昇,（株）東京カンテイは12月9日、2019年11月度「新築木造一戸建て住宅平均価格」を発表した。,2019年12月10日 (火)
107,中古一戸建て価格、首都圏は2ヵ月連続上昇,（株）東京カンテイは12月9日、2019年11月度「中古木造一戸建て住宅平均価格」を発表した。,2019年12月10日 (火)
108,新築小規模一戸建て価格、首都圏は反転上昇,（株）東京カンテイは12月9日、2019年11月度「新築小規模木造一戸建て住宅平均価格」を発表した。,2019年12月10日 (火)
109,近畿圏新築マンション、2013年9月以来の大量供給,（株）不動産経済研究所は1月22日、2019年12月度「近畿圏のマンション市場動向」を発表した。,2020年1月24日 (金)
110,お墓は必要？ 将来どうする？ 漫画で「墓活（はかかつ）」を考えよう,お墓って、先祖代々のもの。自分もそこに入り、子孫が弔ってくれるってイメージ。でも、「子どもは女子だけで嫁いで姓も変わってしまった」「お墓が田舎にあって管理が難しい」「一生独身を...,2020年1月24日 (金)
111,テレワークが変えた暮らし[6]湘南で見つけた新しい生き方。「サーフィンを…,テレワーク（リモートワーク）を利用すると、出勤準備や通勤にあてていた時間が自由に使えるようになります。その時間で、サーフィンや畑などのやってみたかったことを始め、ついには新しい...,2020年1月23日 (木)
112,テレワークが住まいを変える！？2020年の住まいトレンドは「職住融合」,近年恒例となった、リクルートホールディングスの「2020年のトレンド予測」が発表された。これは、住まい・飲食・雇用など7領域の「新たな兆し」を見出して、2020年のトレンドになると予測し...,2020年1月22日 (水)
113,女性の物件選び、こだわり1位は「風呂・トイレ別」,（株）エコラボ・デザインハウスはこのほど、全国20代～30代女性を対象に「住みたい物件の条件」に関する意識調査を行った。調査は2019年12月12日（木）・13日（金）にインターネットで実施...,2020年1月21日 (火)
114,令和時代の理想のパパ像、1位は「つるの剛士さん」,（株）東北新社が運営する「家men総合研究所」は、男性の家事・育児に対する意識や令和時代のパパの実態についてアンケート調査を行った。,2020年1月21日 (火)
115,渋谷で公園・ホテル等の一体開発、街区名は「MIYASHITA PARK」に,渋谷区渋谷一丁目及び神宮前六丁目で進められてきた「（仮称）新宮下公園等整備事業」（東京都渋谷区）の街区名が、このたび「MIYASHITA PARK」に決定した。竣工は2020年4月、グランドオープ...,2020年1月21日 (火)
116,高架下商業空間「日比谷ＯＫＵＲＯＪＩ」、6月下旬にオープン,（株）ジェイアール東日本都市開発は本年6月下旬、JR「有楽町駅」～「新橋駅間」の高架下空間に「日比谷ＯＫＵＲＯＪＩ」（東京都千代田区）を開業する。,2020年1月21日 (火)
